,CV_Mean_R2,CV_Std_R2,MAE,MSE,R2
STACKING_LINEAR_WITH_RIDGE_SVR_BAYESIAN,0.7633219391301015,0.17748086881641734,0.2229412150863545,0.1140541891186451,0.8734059636409334
STACKING_LINEAR_WITH_RIDGE_SVR_RF,0.742347728511637,0.26248164592081347,0.2247549048064076,0.09900623461533449,0.8901083865351949
STACKING_LINEAR_WITH_RIDGE_SVR_GB,0.7298046371206975,0.2310683482172373,0.23554397601274354,0.11309805273059927,0.8744672237805903
STACKING_LINEAR_WITH_RIDGE_SVR_KNN,0.8290678601085351,0.1757421214769428,0.2626460802561733,0.12387280461905517,0.8625078267354875
STACKING_LINEAR_WITH_RIDGE_BAYESIAN_RF,0.5518768539212767,0.27470476128333066,0.4018994924508875,0.528374831917793,0.41353225865789756
STACKING_LINEAR_WITH_RIDGE_BAYESIAN_GB,0.6762065544885643,0.32116639343282843,0.37173349242831777,0.5850824523069309,0.3505898396827307
STACKING_LINEAR_WITH_RIDGE_BAYESIAN_KNN,0.042742408843336,0.38250188366998333,0.39722181980351906,0.31263518025795606,0.6529917078667913
STACKING_LINEAR_WITH_RIDGE_RF_GB,0.7262311425543941,0.2717524150999991,0.4049497423326597,0.5819185271654056,0.35410162699627656
STACKING_LINEAR_WITH_RIDGE_RF_KNN,0.7714936087772429,0.1654451266747576,0.4292156536580507,0.5839276800526785,0.351871574986545
STACKING_LINEAR_WITH_RIDGE_GB_KNN,0.6544421825619224,0.3152967383333654,0.4049967740739863,0.6066724059905279,0.32662614836431136
STACKING_LINEAR_WITH_SVR_BAYESIAN_RF,0.7288392186754551,0.2824402073586851,0.21390940733519034,0.08999492570607798,0.9001104563979204
STACKING_LINEAR_WITH_SVR_BAYESIAN_GB,0.7140462639988585,0.2719624914590788,0.23095430518065785,0.11744598907802915,0.8696412474941702
STACKING_LINEAR_WITH_SVR_BAYESIAN_KNN,0.8427779295428117,0.186711046801492,0.2550032209767263,0.12179178378061678,0.8648176483187281
STACKING_LINEAR_WITH_SVR_RF_GB,0.7450775323184484,0.2012176120109445,0.18131874620675476,0.09196690202140972,0.8979216683902951
